Waktu,Kecerahan,Temperature,Latitude,Longtitude
0.494740573,13,26.70000076,-6.93670112,107.5572713
10.48768067,17.89999962,26.70000076,-6.93677159,107.5571283
20.48516958,17.20000076,26.70000076,-6.9368416,107.556984
30.47692275,14.19999981,26.70000076,-6.93690804,107.5568412
40.52083196,15.69999981,27,-6.93697545,107.5567015
50.51538644,16.39999962,26.70000076,-6.9370402,107.5565584
60.50638196,15.89999962,27,-6.93710381,107.5564188
70.4987032,17.5,26.70000076,-6.93717322,107.5562757
80.49370158,16.79999924,26.70000076,-6.93723861,107.5561385
90.49072236,13.69999981,26.70000076,-6.93730843,107.5559981
100.4812288,11.30000019,26.70000076,-6.93737629,107.5558682
110.5239154,16.10000038,26.70000076,-6.93743981,107.5557405
120.5168078,17.29999924,26.70000076,-6.93751444,107.5556045
130.5131476,16.89999962,26.70000076,-6.93758339,107.5554739
140.5057593,17.29999924,26.70000076,-6.93764802,107.5553457
150.4994028,14.39999962,26.70000076,-6.93771326,107.5552188
160.4950738,13.69999981,27,-6.93777526,107.5550888
170.486715,17.10000038,26.70000076,-6.93783613,107.5549666
180.529712,16.70000076,26.70000076,-6.93790423,107.5548301
190.5212827,16.70000076,26.70000076,-6.93797059,107.5546991
200.516545,16.29999924,26.70000076,-6.93802898,107.5545744
210.5122285,16.89999962,26.70000076,-6.93809439,107.5544475
220.5044997,17.79999924,26.70000076,-6.93815826,107.5543157
230.4998435,17.89999962,26.70000076,-6.93822391,107.5541898
240.4917362,18,26.70000076,-6.93828427,107.5540734
250.5362369,12.19999981,26.70000076,-6.93834047,107.5539586
260.5281679,16.20000076,26.70000076,-6.93839339,107.553845
270.5220526,16.60000038,26.70000076,-6.93844457,107.5537376
280.5140728,14.30000019,26.70000076,-6.93849123,107.5536393
290.5079167,16.5,26.70000076,-6.93854321,107.5535351
300.5032324,15.5,26.70000076,-6.93859224,107.5534388
310.496901,14.10000038,26.70000076,-6.93863987,107.5533429
320.5388721,12.39999962,26.70000076,-6.93868656,107.5532477
330.5334208,10.39999962,26.70000076,-6.93873738,107.5531449
340.5289018,16.60000038,26.70000076,-6.93878947,107.553041
350.5230874,16.79999924,26.70000076,-6.93883417,107.5529509
360.5147357,17,26.39999962,-6.93887962,107.5528618
370.5085832,17.70000076,26.39999962,-6.93892824,107.5527608
380.5026095,12.89999962,26.70000076,-6.9389627,107.5526705
390.5444824,16.70000076,26.70000076,-6.93900177,107.552572
400.5386681,17.5,26.39999962,-6.93903447,107.5524766
410.5311649,17.5,26.39999962,-6.93906356,107.5523757
420.5263686,17.60000038,26.39999962,-6.93909025,107.5522722
430.518959,17.29999924,26.39999962,-6.93910829,107.5521662
440.5151472,17.29999924,26.39999962,-6.93911606,107.5520652
450.5075174,16.89999962,26.39999962,-6.93911588,107.5519548
460.5493897,14.10000038,26.39999962,-6.93910646,107.551839
470.5431835,17.39999962,26.39999962,-6.93909343,107.5517178
480.5372893,17.5,26.39999962,-6.93907582,107.5516045
490.5314955,17.79999924,26.39999962,-6.93902629,107.5514947
500.5244079,17.39999962,26.39999962,-6.93898714,107.551382
